time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
5.41105,2.17138,1.93825,9.22317
5.42109,2.17662,1.91176,9.26746
5.43112,2.20909,1.8754,9.31998
5.44116,2.23528,1.85265,9.3752
5.4512,2.27418,1.79938,9.40677
5.46124,2.33164,1.75883,9.42577
5.47128,2.39569,1.70616,9.45825
5.48132,2.4512,1.65244,9.48428
5.49136,2.48173,1.64421,9.50284
5.5014,2.48756,1.66411,9.50957
5.51144,2.4931,1.65588,9.52364
5.52148,2.51435,1.6481,9.53636
5.53152,2.50597,1.63912,9.49042
5.54155,2.50178,1.60381,9.49551
5.55159,2.43743,1.57912,9.55267
5.56163,2.31967,1.5676,9.56434
5.57167,2.25548,1.55084,9.5181
5.58171,2.2242,1.51747,9.52528
5.59175,2.2242,1.51747,9.52528
5.60179,2.31503,1.59318,9.51915
5.61183,2.38641,1.58929,9.50254
5.62187,2.38641,1.58929,9.50254
5.63191,2.46841,1.60291,9.48937
5.64194,2.54472,1.58929,9.47201
5.65198,2.54472,1.58929,9.47201
5.66202,2.5338,1.58151,9.40812
5.67206,2.41978,1.61069,9.27778
5.6821,2.41978,1.61069,9.27778
5.69214,2.3056,1.50205,9.22825
5.70218,2.3056,1.50205,9.22825
5.71222,2.26086,1.46375,9.20925
5.72226,2.24246,1.40883,9.18665
5.7323,2.25952,1.35391,9.19758
5.74234,2.22435,1.30169,9.18935
5.75237,2.08953,1.28224,9.128
5.76241,2.00513,1.27775,9.22421
5.77245,1.9149,1.33835,9.23289
5.78249,1.77529,1.33416,9.1488
5.79253,1.65394,1.32638,9.15882
5.80257,1.46704,1.32892,9.14999
5.81261,1.16567,1.29421,9.08954
5.82265,0.847094,1.24348,9.00155
5.83269,0.629971,1.25635,8.97103
5.84273,0.545726,1.3409,8.89157
5.85276,0.499039,1.45612,8.74837
5.8628,0.409706,1.56819,8.71979
5.87284,0.253036,1.68506,8.72772
5.88288,-0.046986,1.71274,8.79446
5.89292,-0.464772,1.67743,8.89022
5.90296,-0.856072,1.61353,8.87361
5.913,-1.17001,1.44474,9.02924
5.92304,-1.45851,1.26308,9.28931
5.93308,-1.66905,1.11435,9.45495
5.94312,-1.76616,0.879416,9.90805
5.95316,-1.61548,0.709728,10.1503
5.96319,-1.37187,0.456093,10.1651
5.97323,-1.17824,0.144998,10.1741
5.98327,-1.16792,-0.111779,10.0173
5.99331,-1.36798,-0.458038,9.95908
6.00335,-1.7117,-0.801904,10.0994
6.01339,-2.04434,-0.974884,10.2476
6.02343,-2.34855,-0.983264,10.3598
6.03347,-2.5953,-1.04207,10.3802
6.04351,-2.8425,-1.28822,10.5068
6.05355,-3.0502,-1.51432,10.6422
6.06358,-3.03793,-1.69359,10.7013
6.07362,-2.79133,-1.91924,10.8879
6.08366,-2.4497,-2.13367,11.1557
6.0937,-2.09851,-2.31309,11.4388
6.10374,-1.63807,-2.50627,11.7481
6.11378,-0.928347,-2.68179,12.1436
6.12382,-0.0517743,-2.86854,12.4652
6.13386,0.856671,-3.0499,12.5964
6.1439,1.81165,-2.99468,12.7099
6.15394,2.73312,-2.74374,12.7275
6.16398,3.65533,-2.27927,12.4333
6.17401,4.51888,-1.73519,12.2089
6.18405,5.23609,-1.22343,12.0137
6.19409,5.95166,-0.74998,11.764
6.20413,6.50711,-0.426465,11.6736
